Created as New Dataset,
nm,%T
2500.0,56.79
2495.0,57.02
2490.0,58.97
2485.0,56.53
2480.0,56.75
2475.0,57.60
2470.0,58.21
2465.0,57.30
2460.0,58.08
2455.0,56.95
2450.0,57.47
2445.0,57.35
2440.0,58.94
2435.0,57.35
2430.0,56.14
2425.0,57.85
2420.0,58.43
2415.0,56.36
2410.0,57.28
2405.0,59.03
2400.0,56.48
2395.0,56.85
2390.0,57.70
2385.0,57.69
2380.0,57.72
2375.0,57.34
2370.0,56.66
2365.0,57.95
2360.0,57.46
2355.0,56.89
2350.0,56.91
2345.0,56.64
2340.0,56.44
2335.0,57.00
2330.0,56.40
2325.0,57.17
2320.0,56.36
2315.0,57.05
2310.0,57.03
2305.0,56.76
2300.0,56.15
2295.0,55.82
2290.0,55.58
2285.0,55.98
2280.0,55.92
2275.0,55.46
2270.0,56.26
2265.0,55.54
2260.0,55.64
2255.0,55.90
2250.0,55.51
2245.0,55.90
2240.0,55.59
2235.0,55.16
2230.0,55.51
2225.0,55.12
2220.0,55.68
2215.0,56.03
2210.0,55.38
2205.0,55.73
2200.0,55.21
2195.0,55.69
2190.0,55.75
2185.0,56.09
2180.0,56.06
2175.0,56.33
2170.0,56.47
2165.0,57.08
2160.0,56.82
2155.0,56.70
2150.0,57.49
2145.0,57.50
2140.0,57.15
2135.0,57.24
2130.0,56.98
2125.0,56.87
2120.0,57.06
2115.0,56.86
2110.0,56.35
2105.0,56.39
2100.0,56.38
2095.0,56.64
2090.0,56.13
2085.0,56.09
2080.0,56.23
2075.0,56.44
2070.0,56.31
2065.0,56.07
2060.0,55.96
2055.0,56.18
2050.0,56.06
2045.0,56.28
2040.0,55.83
2035.0,55.97
2030.0,55.94
2025.0,55.71
2020.0,55.66
2015.0,55.64
2010.0,55.50
2005.0,55.60
2000.0,55.43
1995.0,55.37
1990.0,55.37
1985.0,55.26
1980.0,55.33
1975.0,55.28
1970.0,55.27
1965.0,55.27
1960.0,55.18
1955.0,55.14
1950.0,55.43
1945.0,55.39
1940.0,55.53
1935.0,55.34
1930.0,55.57
1925.0,55.71
1920.0,55.51
1915.0,55.51
1910.0,55.64
1905.0,55.59
1900.0,55.50
1895.0,55.74
1890.0,55.65
1885.0,55.77
1880.0,55.92
1875.0,55.87
1870.0,55.99
1865.0,55.97
1860.0,55.93
1855.0,55.95
1850.0,56.04
1845.0,55.87
1840.0,55.97
1835.0,55.98
1830.0,56.01
1825.0,55.91
1820.0,56.06
1815.0,55.99
1810.0,55.69
1805.0,55.72
1800.0,55.67
1795.0,55.85
1790.0,55.86
1785.0,55.85
1780.0,55.97
1775.0,55.94
1770.0,56.10
1765.0,56.16
1760.0,56.15
1755.0,56.21
1750.0,56.40
1745.0,56.22
1740.0,56.39
1735.0,56.50
1730.0,56.55
1725.0,56.61
1720.0,56.60
1715.0,56.69
1710.0,56.68
1705.0,56.70
1700.0,56.83
1695.0,56.68
1690.0,56.83
1685.0,56.92
1680.0,56.88
1675.0,56.97
1670.0,56.99
1665.0,57.17
1660.0,57.18
1655.0,57.20
1650.0,57.27
1645.0,57.23
1640.0,57.33
1635.0,57.48
1630.0,57.52
1625.0,57.60
1620.0,57.56
1615.0,57.63
1610.0,57.84
1605.0,57.78
1600.0,57.89
1595.0,57.96
1590.0,57.95
1585.0,58.05
1580.0,58.11
1575.0,58.19
1570.0,58.28
1565.0,58.36
1560.0,58.41
1555.0,58.52
1550.0,58.57
1545.0,58.66
1540.0,58.71
1535.0,58.79
1530.0,58.83
1525.0,58.87
1520.0,58.96
1515.0,59.02
1510.0,59.13
1505.0,59.24
1500.0,59.34
1495.0,59.35
1490.0,59.52
1485.0,59.59
1480.0,59.63
1475.0,59.65
1470.0,59.73
1465.0,59.82
1460.0,59.90
1455.0,60.00
1450.0,60.15
1445.0,60.23
1440.0,60.32
1435.0,60.36
1430.0,60.45
1425.0,60.58
1420.0,60.68
1415.0,60.81
1410.0,60.93
1405.0,61.00
1400.0,61.12
1395.0,61.24
1390.0,61.36
1385.0,61.49
1380.0,61.54
1375.0,61.62
1370.0,61.74
1365.0,61.85
1360.0,61.94
1355.0,62.05
1350.0,62.04
1345.0,62.17
1340.0,62.26
1335.0,62.34
1330.0,62.47
1325.0,62.57
1320.0,62.63
1315.0,62.72
1310.0,62.78
1305.0,62.92
1300.0,63.06
1295.0,63.15
1290.0,63.21
1285.0,63.34
1280.0,63.43
1275.0,63.55
1270.0,63.59
1265.0,63.72
1260.0,63.85
1255.0,63.89
1250.0,64.02
1245.0,64.08
1240.0,64.20
1235.0,64.28
1230.0,64.34
1225.0,64.49
1220.0,64.61
1215.0,64.73
1210.0,64.83
1205.0,64.87
1200.0,64.98
1195.0,65.12
1190.0,65.15
1185.0,65.24
1180.0,65.35
1175.0,65.42
1170.0,65.47
1165.0,65.55
1160.0,65.63
1155.0,65.78
1150.0,65.84
1145.0,65.88
1140.0,65.97
1135.0,66.04
1130.0,66.09
1125.0,66.19
1120.0,66.27
1115.0,66.31
1110.0,66.41
1105.0,66.41
1100.0,66.51
1095.0,66.52
1090.0,66.59
1085.0,66.64
1080.0,66.69
1075.0,66.71
1070.0,66.80
1065.0,66.79
1060.0,66.82
1055.0,66.89
1050.0,66.88
1045.0,66.95
1040.0,66.95
1035.0,67.02
1030.0,67.00
1025.0,67.04
1020.0,66.99
1015.0,67.06
1010.0,67.05
1005.0,67.02
1000.0,67.02
995.0,67.02
990.0,66.96
985.0,66.94
980.0,66.92
975.0,66.88
970.0,66.88
965.0,66.83
960.0,66.86
955.0,66.82
950.0,66.77
945.0,66.74
940.0,66.69
935.0,66.67
930.0,66.62
925.0,66.49
920.0,66.49
915.0,66.47
910.0,66.47
905.0,66.36
900.0,66.37
895.0,66.19
890.0,66.16
885.0,66.09
880.0,66.14
875.0,66.12
870.0,65.91
865.0,65.81
860.0,65.89
855.0,65.07
850.0,65.00
845.0,64.24
840.0,64.63
835.0,64.73
830.0,64.66
825.0,64.41
820.0,64.19
815.0,63.72
810.0,63.95
805.0,63.69
800.0,63.75
795.0,63.77
790.0,63.20
785.0,63.20
780.0,63.13
775.0,63.09
770.0,63.02
765.0,62.92
760.0,62.73
755.0,62.67
750.0,62.51
745.0,62.44
740.0,62.27
735.0,62.19
730.0,62.07
725.0,62.07
720.0,61.91
715.0,61.88
710.0,61.70
705.0,61.80
700.0,61.60
695.0,61.62
690.0,61.57
685.0,61.57
680.0,61.43
675.0,61.36
670.0,61.36
665.0,61.32
660.0,61.37
655.0,61.22
650.0,61.32
645.0,61.28
640.0,61.34
635.0,61.25
630.0,61.31
625.0,61.30
620.0,61.27
615.0,61.29
610.0,61.38
605.0,61.40
600.0,61.41
595.0,61.42
590.0,61.50
585.0,61.59
580.0,61.53
575.0,61.61
570.0,61.68
565.0,61.79
560.0,61.81
555.0,61.82
550.0,61.90
545.0,61.95
540.0,62.03
535.0,62.02
530.0,62.04
525.0,62.03
520.0,62.06
515.0,62.03
510.0,62.06
505.0,62.08
500.0,62.13
495.0,62.09
490.0,62.16
485.0,62.21
480.0,62.23
475.0,62.20
470.0,62.23
465.0,62.23
460.0,62.25
455.0,62.22
450.0,62.21
445.0,62.28
440.0,62.34
435.0,62.40
430.0,62.43
425.0,62.52
420.0,62.56
415.0,62.60
410.0,62.72
405.0,62.81
400.0,63.06
395.0,63.24
390.0,63.58
385.0,63.84
380.0,64.30
375.0,64.72
370.0,65.36
365.0,65.77
360.0,66.26
355.0,67.02
350.0,67.44
345.0,68.08
340.0,68.70
335.0,68.85
330.0,70.06
325.0,70.78
320.0,72.13
315.0,73.04
310.0,74.22
305.0,75.05
300.0,76.24
295.0,78.78
290.0,79.76
285.0,80.22
280.0,80.94
275.0,79.63
270.0,78.31
265.0,77.01
260.0,79.28
255.0,81.63
250.0,94.40
245.0,105.83
240.0,103.59
235.0,103.59
230.0,103.59
225.0,103.59
220.0,103.59
215.0,103.59
210.0,103.59
205.0,103.59
200.0,103.59
